name_distinct,review
Atsane - 70.0%, nutty
Akata - 70.0%,mild profile
Akata - 70.0%, chocolaty
Akata - 70.0%, spice
Quilla - 70.0%,grainy texture
Quilla - 70.0%, cocoa
Quilla - 70.0%, sweet
Agua Grande - 63.0%,sweet
Agua Grande - 63.0%, chocolatey
Agua Grande - 63.0%, vegetal
Porcelana - 70.0%,alluring aroma
Porcelana - 70.0%, powdery
Porcelana - 70.0%,nutty
Absolu - 63.0%,sweet
Absolu - 63.0%, dairy
Absolu - 63.0%, spice
Absolu - 63.0%, cocoa
La Joya - 70.0%,light color
La Joya - 70.0%, fruit
La Joya - 70.0%, yogurt
"Chulucanas, El Platanal, batch 001 - 70.0%",yellow fruit
"Tumbes, Norandino - 70.0%",intense
"Tumbes, Norandino - 70.0%", nutty
"Tumbes, Norandino - 70.0%", cherry
"Tumbes, Norandino - 70.0%", cocoa
"Teapa, Tabasco, batch 2 - 74.0%",herbal
"Teapa, Tabasco, batch 2 - 74.0%", molasses
"Teapa, Tabasco, batch 2 - 74.0%", hammy
"Barataria, El Plantal and Norandino Tumbes blend - 70.0%",hot cocoa
"Barataria, El Plantal and Norandino Tumbes blend - 70.0%", rich
"Barataria, El Plantal and Norandino Tumbes blend - 70.0%", molasses
Vanua Levu - 60.0%,sweet
Vanua Levu - 60.0%, sublte strawberry
"Vanua Levu, Toto-A - 80.0%",spicy and candy-like
Vanua Levu - 88.0%,orange
Vanua Levu - 88.0%, floral
Vanua Levu - 88.0%, lemon
"Vanua Levu, Ami-Ami-CA - 72.0%",cocoa and powerful tang
"Malekula Island, batch M10/19 - 70.0%",unrefined
"Malekula Island, batch M10/19 - 70.0%", sweet
"Malekula Island, batch M10/19 - 70.0%", metallic
"Malo Island, batch Ma20/19 - 70.0%",basic
"Malo Island, batch Ma20/19 - 70.0%", sweet
"Malo Island, batch Ma20/19 - 70.0%", cocoa
"Malo Island, batch Ma20/19 - 70.0%", woody
"Santo Island, batch S15/19 - 70.0%",sweet
"Santo Island, batch S15/19 - 70.0%", cocoa
"Santo Island, batch S15/19 - 70.0%", rubbery
"EPI Island, batch E 11/19 - 70.0%",sandy
"EPI Island, batch E 11/19 - 70.0%", woody
"EPI Island, batch E 11/19 - 70.0%", spicy
"EPI Island, batch E 11/19 - 70.0%", sweet
"Los Rios, Quevedo, Arriba - 55.0%",sandy
"Los Rios, Quevedo, Arriba - 55.0%", sweet
"Los Rios, Quevedo, Arriba - 55.0%", banana cream
"Los Rios, Quevedo, Arriba - 70.0%",roasty
"Los Rios, Quevedo, Arriba - 70.0%", nutty
"Los Rios, Quevedo, Arriba - 70.0%", coffee
Tabasco - 70.0%,gritty
Tabasco - 70.0%, spice
Tabasco - 70.0%, cocoa
"Madagascar, Ambolikapiky P. - 75.0%",strong pepper
"Madagascar, Ambolikapiky P. - 75.0%", musty
"Monte Alegre, D. Badero - 75.0%",fatty
"Monte Alegre, D. Badero - 75.0%", intense
"Monte Alegre, D. Badero - 75.0%", woody
"Bali (west), Sukrama Family, Melaya area - 75.0%",hay
"Bali (west), Sukrama Family, Melaya area - 75.0%", nut
"Bali (west), Sukrama Family, Melaya area - 75.0%", berry
Chuao - 75.0%,sandy
Chuao - 75.0%, dirt
Chuao - 75.0%, ashey
"Piura, Perou - 75.0%",cardboard
"Piura, Perou - 75.0%", dirt
"Piura, Perou - 75.0%", roasty
Trinite - 65.0%,roasty
Trinite - 65.0%, sweet
Trinite - 65.0%, savory
Vietnam - 75.0%,nutty
Vietnam - 75.0%, roasty
Vietnam - 75.0%, odd dairy
Madagascar - 75.0%,citrus
Madagascar - 75.0%, fatty
Madagascar - 75.0%, dairy
"Porcelana, Mexique - 75.0%",strawberry
"Porcelana, Mexique - 75.0%", cream
"Porcelana, Mexique - 75.0%", gateway
"Winak Coop, Napo - 70.0%",sandy
"Winak Coop, Napo - 70.0%", green
"Winak Coop, Napo - 70.0%", floral
"La Dalia, Matagalpa - 70.0%",sandy
"La Dalia, Matagalpa - 70.0%", sweet
"La Dalia, Matagalpa - 70.0%", nibby
"Makwale Village, Kyela - 70.0%",sandy
"Makwale Village, Kyela - 70.0%", melon
"Makwale Village, Kyela - 70.0%", banana
Tien Giang - 70.0%,sandy
Tien Giang - 70.0%, sweet
Tien Giang - 70.0%, roasty
Sur del Lago - 60.0%,sweet
Sur del Lago - 60.0%, moldy
Sur del Lago - 60.0%, off
"Conacado, batch 130 - 60.0%",sandy
"Conacado, batch 130 - 60.0%", sweet
"Conacado, batch 130 - 60.0%", dairy
"Conacado, batch 130 - 60.0%", spice
"Bolivia, batch 154 - 60.0%",grit
"Bolivia, batch 154 - 60.0%", sweet
"Bolivia, batch 154 - 60.0%", caramel
"Bolivia, batch 154 - 60.0%", fruit
"Bolivia, batch 101 - 80.0%",gritty
"Bolivia, batch 101 - 80.0%", berry
"Bolivia, batch 101 - 80.0%", mild bitter
"Peru, batch 148 - 60.0%",gritty
"Peru, batch 148 - 60.0%", too sweet
"Peru, batch 148 - 60.0%", fruit
CIAAB Coop - 60.0%,sandy
CIAAB Coop - 60.0%, sweet
CIAAB Coop - 60.0%, pungent
Villa Andina - 60.0%,sandy
Villa Andina - 60.0%, sweet
Villa Andina - 60.0%, sour
Villa Andina - 60.0%, off
Momotombo - 60.0%,powdery
Momotombo - 60.0%, sweet
Momotombo - 60.0%, molasses
Gruppo Salinas - 60.0%,sandy
Gruppo Salinas - 60.0%, nutty
Gruppo Salinas - 60.0%, earthy
Gruppo Salinas - 60.0%, roasty
Acopagro - 60.0%,dry
Acopagro - 60.0%, sweet
Acopagro - 60.0%, caramel
Oko Caribe - 70.0%,sweet
Oko Caribe - 70.0%, coarse
Oko Caribe - 70.0%, nutty
Cuyagua - 70.0%,waxy
Cuyagua - 70.0%, nutty
Cuyagua - 70.0%, mint
Madagascar - 70.0%,spice
Madagascar - 70.0%, nut
Madagascar - 70.0%, cocoa
Madagascar - 70.0%, fruit
Ocumare - 70.0%,spicy
Ocumare - 70.0%, strawberry
"Bali, Jembrana - 70.0%",sticky
"Bali, Jembrana - 70.0%", nutty
"Bali, Jembrana - 70.0%", high acidity
Montanya - 70.0%,hot spice
Montanya - 70.0%, roasty
Chuao - 70.0%,woody
Chuao - 70.0%, red berry
Chuao - 70.0%, sour
Dos Rios - 70.0%,orange
Dos Rios - 70.0%, cinamon
Guayas - 70.0%,strong spice
Guayas - 70.0%, intense pepper
Morobe - 70.0%,tart
Morobe - 70.0%, lemon
Morobe - 70.0%, smoke
Ecuador - 70.0%,waxy mouthfeel
Ecuador - 70.0%, spicy
Ecuador - 85.0%,fatty
Ecuador - 85.0%, mushroom
Ecuador - 85.0%, off notes
Ghana - 70.0%,dry
Ghana - 70.0%, chalky
Ghana - 70.0%, fudge-like
Ghana - 85.0%,roasty
Ghana - 85.0%,oddly sweet
Ghana - 85.0%,marshmallow
Maranon - 70.0%,raisins
Maranon - 70.0%, pungent
Platan Bajo - 70.0%,few grits
Platan Bajo - 70.0%, blackcherry
Platan Bajo - 70.0%, licorice
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%",oily
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%", vanilla
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%", melon
"LamasdelChanka, San Martin, Oro Verde coop - 72.0%", cocoa
"Bellavista Gran Pajeten, San Martin - 73.0%",oily
"Bellavista Gran Pajeten, San Martin - 73.0%", vegetal
"Bellavista Gran Pajeten, San Martin - 73.0%", nutty
"Bellavista Gran Pajeten, San Martin - 73.0%", cocoa
Belize - 64.0%,roasty
Belize - 64.0%, brownie
Belize - 64.0%, nutty
Madagascar - 66.0%,fruity
Madagascar - 66.0%, sour
Dominican Republic - 75.0%,high roast
Dominican Republic - 75.0%, high astringnet
Papua New Guinea - 63.0%,smokey
Papua New Guinea - 63.0%, savory
Venezuela - 70.0%,sandy
Venezuela - 70.0%, roasty
Venezuela - 70.0%, nutty
Peru - 68.0%,rich
Peru - 68.0%, sour
Peru - 68.0%, mild smoke
Toscano Black - 66.0%,red wine
Toscano Black - 66.0%, rich cocoa
Toscano Black - 66.0%, long
Ecuador - 70.0%,creamy
Ecuador - 70.0%, earthy
Ecuador - 70.0%, vegetal
Jamaica - 70.0%,sandy
Jamaica - 70.0%, woody
Jamaica - 70.0%, spicy
Grenada - 70.0%,fruity with coffee notes
Trinidad - 70.0%,coffee
Trinidad - 70.0%, fruit
Trinidad - 70.0%, woodsy
Toscano Black - 63.0%,fatty
Toscano Black - 63.0%, dairy
Toscano Black - 63.0%, caramel
Toscano Black - 63.0%, cocoa
Venezuela - 70.0%,creamy
Venezuela - 70.0%, fruit
Venezuela - 70.0%, cocoa
"Piura, Blanco de Criollo - 70.0%",creamy
"Piura, Blanco de Criollo - 70.0%", raspberry
"Piura, Blanco de Criollo - 70.0%", nutty
Madagascar - 70.0%,vanilla
Madagascar - 70.0%, mint
Madagascar - 70.0%, roasty
Chuao - 70.0%,vanilla
Chuao - 70.0%, nuts
Chuao - 70.0%, roasty
Porcelana - 70.0%,nutty
Porcelana - 70.0%, mild roasty
Porcelana - 70.0%, vanilla
Nine - 75.0%,sweet
Nine - 75.0%, delicate
Nine - 75.0%, complex
Toscano Black - 70.0%,nut
Toscano Black - 70.0%, fatty
Toscano Black - 70.0%, rubbery
Toscano Black - 70.0%, rich
"Monte Alegre, 3 diff. plantations - 85.0%",creamy
"Monte Alegre, 3 diff. plantations - 85.0%", red berry
"Monte Alegre, 3 diff. plantations - 85.0%", bitter
"Monte Alegre, 3 diff. plantations - 50.0%",very sweet
"Monte Alegre, 3 diff. plantations - 50.0%", bright red
"Monte Alegre, 3 diff. plantations - 50.0%", banana
"Monte Alegre, 3 diff. plantations - 75.0%",roasty
"Monte Alegre, 3 diff. plantations - 75.0%", fatty
"Monte Alegre, 3 diff. plantations - 75.0%", nutty
"Monte Alegre, 3 diff. plantations - 75.0%", coffee
"Monte Alegre, 3 diff. plantations - 60.0%",creamy
"Monte Alegre, 3 diff. plantations - 60.0%", sweet
"Monte Alegre, 3 diff. plantations - 60.0%",cocoa
"Monte Alegre, 3 diff. plantations - 60.0%",banana
Catongo - 75.0%,grainy
Catongo - 75.0%, sweet
Catongo - 75.0%, poor aftertaste
Elvesia - 75.0%,chalky
Elvesia - 75.0%, mild fruit
Elvesia - 75.0%, burnt
Alto Beni - 75.0%,light roast
Alto Beni - 75.0%, caramel
Alto Beni - 75.0%, cocoa
"Maya Mountain, batch 39 - 75.0%",burnt toast
"Maya Mountain, batch 39 - 75.0%", cherry
"Alta Verapaz, Cahabon & Lanquin regions, b. 4243 - 75.0%",orange citrus
"Alta Verapaz, Cahabon & Lanquin regions, b. 4243 - 75.0%", harsh earthiness
Chiapas - 72.0%,earthy
Chiapas - 72.0%, sour milk
Chiapas - 72.0%, leather
Equateur - 75.0%,bitter
Equateur - 75.0%, floral
Equateur - 75.0%, leather
Madagascar - 75.0%,sandy
Madagascar - 75.0%, fruity
Madagascar - 75.0%, short
Trincheras - 75.0%,nutty
Trincheras - 75.0%, mild spice
Trincheras - 75.0%, mild earthy
Fazenda Camboa - 75.0%,floral
Fazenda Camboa - 75.0%, chemical off
Guatemala - 70.0%,strawberry
Guatemala - 70.0%, butterscotch
Guatemala - 70.0%, off
Fazenda Camboa - 70.0%,creamy
Fazenda Camboa - 70.0%, rich
Fazenda Camboa - 70.0%, rum
Fazenda Camboa - 70.0%, roasty
Nacional - 68.0%,floral
Nacional - 68.0%, nutty
Nacional - 68.0%, rich cocoa
Oko Caribe - 70.0%,spicy
Oko Caribe - 70.0%, brownie
Oko Caribe - 70.0%, nutty
Camino Verde - 75.0%,intense
Camino Verde - 75.0%, floral
Camino Verde - 75.0%, bourbon
"Puerto Quito, heirloom - 70.0%",spicy
"Puerto Quito, heirloom - 70.0%", cocoa
Maya Mountain - 70.0%,floral
Maya Mountain - 70.0%, strawberry
Maya Mountain - 70.0%, metallic
Chuno - 70.0%,creamy
Chuno - 70.0%,sticky
Chuno - 70.0%, peanut butter
Hacienda Victoria - 70.0%,sticky
Hacienda Victoria - 70.0%, floral
Hacienda Victoria - 70.0%, roasty
Costa Esmeraldas - 70.0%,chewy
Costa Esmeraldas - 70.0%, mild floral
Matasawalevu - 70.0%,smoke
Matasawalevu - 70.0%, hammy
Matasawalevu - 70.0%, cocoa base
Lam Dong - 73.0%,earthy
Lam Dong - 73.0%, nutty
Lam Dong - 73.0%, cardboard
San Juan - 70.0%,delicate
San Juan - 70.0%, simple
Tien Giang - 73.0%,cashew
Tien Giang - 73.0%, roasty
Tien Giang - 73.0%, chunky melt
Lachua - 70.0%,subtle
Lachua - 70.0%, mysterious
"La Masica, FHIA - 70.0%",nutty
"La Masica, FHIA - 70.0%", green
Kokoa Kamili - 70.0%,appealing smoke
Kokoa Kamili - 70.0%, woody
Rugoso - 70.0%,muddy
Rugoso - 70.0%, rich cocoa
Rugoso - 70.0%, raspberry
Elvesia - 70.0%,dark berry
Elvesia - 70.0%, chocolatey
"Coto Brus, Terciopelo - 70.0%",balanced
"Coto Brus, Terciopelo - 70.0%", cherry
"Coto Brus, Terciopelo - 70.0%", choco
Phantom - 70.0%,creamy
Phantom - 70.0%, complex
Phantom - 70.0%, balanced
Anamalai - 70.0%,slight roasty
Anamalai - 70.0%, basic cocoa
Sambirano Valley - 70.0%,sour fruit
Ben Tre - 73.0%,rich cocoa
Ben Tre - 73.0%, mild roasty
Ucayali - 70.0%,dried fruit
Ucayali - 70.0%, fig
Ucayali - 70.0%, anise
Beniano - 70.0%,creamy
Beniano - 70.0%, bright fruit
Pisa - 70.0%,long lasting
Pisa - 70.0%, cocoa
Ramnath E. - 70.0%,nuts
Ramnath E. - 70.0%, dried fruit
Ramnath E. - 70.0%, short
Tumaco - 70.0%,smooth
Tumaco - 70.0%, nutty
Tumaco - 70.0%, cocoa
Idukki - 70.0%,burn butterscotch
Idukki - 70.0%, rubbery
Jangareddygudem - 70.0%,herbs
Jangareddygudem - 70.0%, mushroom
Jangareddygudem - 70.0%, acidic
Apoyo - 70.0%,cocoa
Apoyo - 70.0%, earthy
Apoyo - 70.0%, hammy
Masaya - 70.0%,melon
Masaya - 70.0%, late hammy
Mombacho - 70.0%,smooth
Mombacho - 70.0%, vegetal
Cocibolca - 70.0%,roasty
Cocibolca - 70.0%, rich cocoa
Congo - 72.0%,spicy
Congo - 72.0%, minty
Congo - 72.0%, vegetal
Brazil Rio Doce - 72.0%,cocoa
Brazil Rio Doce - 72.0%, dominate off note
"Ocumare, Venezuela - 75.0%",oily
"Ocumare, Venezuela - 75.0%", nutty
"Ocumare, Venezuela - 75.0%", burnt
"Ocumare, Venezuela - 75.0%", sour
Java - 72.0%,gritty
Java - 72.0%, very smokey
Java - 72.0%, sour
Madagascar - 80.0%,sl. bitter
Madagascar - 80.0%, cherry
Madagascar - 80.0%, rich
Peru - 75.0%,spicey
Peru - 75.0%, mild metallic
Dominican Republic - 72.0%,spice
Dominican Republic - 72.0%, cocoa
Dominican Republic - 72.0%, short
Venezuela - 100.0%,very nutty
Venezuela - 100.0%, very bitter
Costa Rica - 72.0%,chewy
Costa Rica - 72.0%, grassy
Costa Rica - 72.0%, nutty
Ba Ria Vung Tau Province - 72.0%,unrefined
Ba Ria Vung Tau Province - 72.0%, distinct spicey
Bali - 72.0%,black pepper and banana
Jamaica - 72.0%,grassy
Jamaica - 72.0%, black licorice
Jamaica - 72.0%, mint
Panama - 72.0%,blackpepper
Panama - 72.0%,chemical
Panama - 72.0%,rubber
Haiti - 72.0%,nuts
Haiti - 72.0%, butterscotch
Haiti - 72.0%, brownie
"Colombia, Casa Luker - 72.0%",marshmallow
"Colombia, Casa Luker - 72.0%", roasty
"Colombia, Casa Luker - 72.0%", nutty
"Trinidad, Heritage, Limited ed. - 72.0%",gritty
"Trinidad, Heritage, Limited ed. - 72.0%", nutty
"Orinoqua Region, Arauca - 72.0%",creamy
"Orinoqua Region, Arauca - 72.0%", marshmallow
"Orinoqua Region, Arauca - 72.0%", off
"Idukki Kerala, lot IN728221 - 72.0%",cinamon
"Idukki Kerala, lot IN728221 - 72.0%", nutmeg
"Idukki Kerala, lot IN728221 - 72.0%", fatty
"Bejofo E., Akesson, lot MA72820 - 72.0%",strawberry
"Bejofo E., Akesson, lot MA72820 - 72.0%", sour
"Kokoa Kamili, lot TZ72199 - 72.0%",caramel
"Kokoa Kamili, lot TZ72199 - 72.0%", sour milk
Xoconusco - 75.0%,leather
Xoconusco - 75.0%, black licorice
Xoconusco - 75.0%, off
San Jose del Tambo - 70.0%,smooth
San Jose del Tambo - 70.0%, astringent
San Jose del Tambo - 70.0%, cocoa
Davao - 77.0%,strawberries
Davao - 77.0%, mild tart
Davao - 77.0%, roasty
"Tenende, Uwate - 72.0%",creamy
"Tenende, Uwate - 72.0%", woody
"Tenende, Uwate - 72.0%", cocoa
Cortes - 70.0%,grapes
Cortes - 70.0%, woody
Cortes - 70.0%, roasty
Mababa - 68.0%,creamy
Mababa - 68.0%, rich
Mababa - 68.0%, blueberry
Solomon Islands - 70.0%,off aroma
Solomon Islands - 70.0%,vegetal
Solomon Islands - 70.0%,honey
Solomon Islands - 70.0%,sandy
Davao - 77.0%,sandy
Davao - 77.0%, vanilla
"Paquibao E., 2016 - 70.0%",waxy
"Paquibao E., 2016 - 70.0%", dried fruit
South Cotabato - 70.0%,sandy
South Cotabato - 70.0%, roasty
South Cotabato - 70.0%, nutty
"Saloy E., 2016 - 70.0%",long
"Saloy E., 2016 - 70.0%", bright fruit
"Saloy E., 2016 - 70.0%", sweet
"Saloy E., 2016 - 70.0%", sour
Tumaco - 70.0%,chemical
Tumaco - 70.0%, spice
Tumaco - 70.0%, earthy
Zorzal - 70.0%,intense
Zorzal - 70.0%, sour tart plum
Zorzal - 70.0%, rubber
Bahia - 70.0%,chalky
Bahia - 70.0%, intense
Bahia - 70.0%, chemical
Houseblend - 70.0%,chalky
Houseblend - 70.0%, fragrant
Houseblend - 70.0%, then off
Sambirano - 70.0%,unrefined
Sambirano - 70.0%, flat
Sambirano - 70.0%, grassy
Houseblend - 80.0%,coarse
Houseblend - 80.0%, smokey
Houseblend - 80.0%, metallic
Papua New Guinea - 70.0%,smoke
Papua New Guinea - 70.0%, ham
Papua New Guinea - 70.0%, papaya
"Bahia, Vale Potumujo - 70.0%",bland
"Bahia, Vale Potumujo - 70.0%", sugary
"Bahia, Vale Potumujo - 70.0%", large grits
"Bambamarca, 2015 - 70.0%",molasses
"Bambamarca, 2015 - 70.0%", caramel
"Bambamarca, 2015 - 70.0%", pungent
"Huallabamba, 2015 - 70.0%",black pepper
"Huallabamba, 2015 - 70.0%", cardamom
Belize - 72.0%,gritty
Belize - 72.0%, fatty
Belize - 72.0%, sour
Belize - 72.0%, off
Uganda - 82.0%,bitter
Uganda - 82.0%, fatty
Uganda - 82.0%, mild fruit
Kokoa Kamili - 72.0%,base cocoa
Kokoa Kamili - 72.0%, mild fruit
Kokoa Kamili - 72.0%, roasty
Duarte Province - 70.0%,complex
Duarte Province - 70.0%,black pepper
Duarte Province - 70.0%,coffee
Chiapas - 70.0%,molasses
Chiapas - 70.0%,toffee
Chiapas - 70.0%,coffee grounds
Sambirano - 70.0%,raspberry
Sambirano - 70.0%, mild sour
Maranon Canyon - 70.0%,creamy
Maranon Canyon - 70.0%, rounded
Maranon Canyon - 70.0%, orange
Bahia - 70.0%,intense
Bahia - 70.0%, smokey
Bahia - 70.0%, dried fruit
"Turrialba, Cartago P. - 72.0%",slightly dry
"Turrialba, Cartago P. - 72.0%", cocoa
"Turrialba, Cartago P. - 72.0%", berry
Montserrat Hills - 80.0%,intense
Montserrat Hills - 80.0%, tangy
Montserrat Hills - 80.0%, alcohol
single estate - 80.0%,gritty
single estate - 80.0%, floral
single estate - 80.0%, vanilla
Ecuador - 65.0%,sandy
Ecuador - 65.0%, floral
Ecuador - 65.0%, sweet
"Dominican Republic, Batch 3 - 65.0%",creamy
"Dominican Republic, Batch 3 - 65.0%", sweet
"Dominican Republic, Batch 3 - 65.0%", fudgey
Brazil - 70.0%,strawberry
Brazil - 70.0%, candy flavor
Peru - 70.0%,strong vanilla
Peru - 70.0%, off notes
"Asajaya E, NW Borneo, b. #132/4500 - 73.0%",caramel
"Asajaya E, NW Borneo, b. #132/4500 - 73.0%", spice
"Asajaya E, NW Borneo, b. #132/4500 - 73.0%", earthy
"Serian E., NW Borneo, b. #134/3800 - 72.0%",smokey
"Serian E., NW Borneo, b. #134/3800 - 72.0%", woody
"Serian E., NW Borneo, b. #134/3800 - 72.0%", tobacco
"Brazil, Batch 20316 - 80.0%",intense
"Brazil, Batch 20316 - 80.0%", bitter
"Brazil, Batch 20316 - 80.0%", dry
"Dominican Republic, Batch 31616 - 70.0%",sandy
"Dominican Republic, Batch 31616 - 70.0%", sweet
"Dominican Republic, Batch 31616 - 70.0%", molasses
"Ecuador, Batch 31516 - 70.0%",intense
"Ecuador, Batch 31516 - 70.0%", floral
"Ecuador, Batch 31516 - 70.0%", black pepper
Ecuador - 90.0%,intense floral
Ecuador - 90.0%, bitter
Ecuador - 90.0%, earthy
Costa Rica - 64.0%,pastey
Costa Rica - 64.0%, nutty
Papua New Guinea - 64.0%,intense
Papua New Guinea - 64.0%, smokey
Peru - 64.0%,sticky
Peru - 64.0%, moss
Peru - 64.0%, nuts
Ecuador - 71.0%,dry
Ecuador - 71.0%, cinamon
Ecuador - 71.0%, nutmeg
"Alto Beni, Palos Blanco - 70.0%",oily
"Alto Beni, Palos Blanco - 70.0%", complex
"Alto Beni, Palos Blanco - 70.0%", pungent
"Kokao Kamili, Kilombero Valley - 70.0%",sticky
"Kokao Kamili, Kilombero Valley - 70.0%", delicate
"Kokao Kamili, Kilombero Valley - 70.0%", melon
"Oko Caribe, Duarte P. - 70.0%",caramel
"Oko Caribe, Duarte P. - 70.0%", mild dried fruit
Lam Dong - 75.0%,high acidity
Lam Dong - 75.0%, nutty
Lam Dong - 75.0%, roasty
"Ben Tre, batch 70301 - 70.0%",dominate cocoa notes
"Belize south, low fermentation - 83.0%",unbalanced
"Belize south, low fermentation - 83.0%", tangy
"Belize south, low fermentation - 83.0%", pungent
Belize south - 78.0%,sweet
Belize south - 78.0%, nibby
Belize south - 78.0%, green
Belize south - 83.0%,balanced
Belize south - 83.0%, complex
Belize south - 83.0%, berry
Vung Tau - 72.0%,gummy
Vung Tau - 72.0%, roasty
Vung Tau - 72.0%, fatty
"Anamalai, 2018 harvest - 72.0%",gummy
"Anamalai, 2018 harvest - 72.0%", fatty
"Anamalai, 2018 harvest - 72.0%", sour
"Sungai Ruan, Koh Farm - 72.0%",off aroma
"Sungai Ruan, Koh Farm - 72.0%", smokey
"Sungai Ruan, Koh Farm - 72.0%", off note
"Somia Plantation, Sambirano, 70hr C - 72.0%",intense
"Somia Plantation, Sambirano, 70hr C - 72.0%",red berry
"Somia Plantation, Sambirano, 70hr C - 72.0%",strawberry
"Bali, Sukrama Bros. Farm, Melaya, 62hr C - 72.0%",smokey
"Bali, Sukrama Bros. Farm, Melaya, 62hr C - 72.0%", raspberries
"Bali, Sukrama Bros. Farm, Melaya, 62hr C - 72.0%", cocoa
Baracoa - 74.0%,tobacco
Baracoa - 74.0%, dairy
Baracoa - 74.0%, sour
Cuyagua Village - 74.0%,nutty
Cuyagua Village - 74.0%, roasty
Cuyagua Village - 74.0%, dairy
Chuao - 74.0%,mocha
Chuao - 74.0%, intense
Chuao - 74.0%, sweet
Rio Peripa H. - 73.0%,cinamon and nutmeg
Nature - 55.0%,sweet
Nature - 55.0%, vanilla
Nature - 55.0%, cocoa
"Carenero S., Barlovento, Grand Cru - 70.0%",creamy
"Carenero S., Barlovento, Grand Cru - 70.0%", macadamia
"Carenero S., Barlovento, Grand Cru - 70.0%", pepper
"Porcelana, Premier Cru, Quizas No. 1 - 74.0%",nutty
"Porcelana, Premier Cru, Quizas No. 1 - 74.0%", light toffee
"Porcelana, Premier Cru, Quizas No. 1 - 74.0%", mild musty
"Java, Grand Cru - 64.0%",ham-like
"Java, Grand Cru - 64.0%", smokey
"Java, Grand Cru - 64.0%", banana
"Ocumare, Premier Cru, Quizas No. 2 - 72.0%",dark cocoa
"Ocumare, Premier Cru, Quizas No. 2 - 72.0%", spicy pepper
Madagascar - 64.0%,chunky
Madagascar - 64.0%, nutty
Madagascar - 64.0%, banana
Maracaibo - 88.0%,bitter then nutty rustic
Maracaibo - 88.0%, earthy
"Indigena Amazonia, Grand Cru, Quizas - 72.0%",creamy
"Indigena Amazonia, Grand Cru, Quizas - 72.0%", banana
"Indigena Amazonia, Grand Cru, Quizas - 72.0%", rich
