id,manufacturer,company_location,year_reviewed,bean_origin,bar_name,cocoa_percent,num_ingredients,rating,name_distinct
1494,Ambrosia,Canadá,2015,Madagascar,Madagascar,66.0,2.0,3.25,Madagascar - 66.0%
1498,Ambrosia,Canadá,2015,Dominican Republic,Dominican Republic,75.0,2.0,3.25,Dominican Republic - 75.0%
1498,Ambrosia,Canadá,2015,Papua New Guinea,Papua New Guinea,63.0,2.0,3.25,Papua New Guinea - 63.0%
1498,Ambrosia,Canadá,2015,Venezuela,Venezuela,70.0,2.0,3.25,Venezuela - 70.0%
1498,Ambrosia,Canadá,2015,Peru,Peru,68.0,2.0,3.5,Peru - 68.0%
75,Amedei,Italia,2006,Blend,Toscano Black,66.0,4.0,3.75,Toscano Black - 66.0%
123,Amedei,Italia,2007,Ecuador,Ecuador,70.0,4.0,3.0,Ecuador - 70.0%
123,Amedei,Italia,2007,Jamaica,Jamaica,70.0,4.0,3.0,Jamaica - 70.0%
123,Amedei,Italia,2007,Grenada,Grenada,70.0,4.0,3.5,Grenada - 70.0%
129,Amedei,Italia,2007,Trinidad,Trinidad,70.0,4.0,3.5,Trinidad - 70.0%
170,Amedei,Italia,2007,Blend,Toscano Black,63.0,4.0,3.5,Toscano Black - 63.0%
123,Amedei,Italia,2007,Venezuela,Venezuela,70.0,4.0,3.75,Venezuela - 70.0%
979,Amedei,Italia,2012,Peru,"Piura, Blanco de Criollo",70.0,4.0,3.75,"Piura, Blanco de Criollo - 70.0%"
2088,Amedei,Italia,2018,Madagascar,Madagascar,70.0,4.0,3.0,Madagascar - 70.0%
2088,Amedei,Italia,2018,Venezuela,Chuao,70.0,4.0,3.0,Chuao - 70.0%
2092,Amedei,Italia,2018,Venezuela,Porcelana,70.0,4.0,3.0,Porcelana - 70.0%
2092,Amedei,Italia,2018,Blend,Nine,75.0,4.0,3.5,Nine - 75.0%
2434,Amedei,Italia,2019,Blend,Toscano Black,70.0,3.0,2.75,Toscano Black - 70.0%
572,AMMA,Baasil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85.0,4.0,2.75,"Monte Alegre, 3 diff. plantations - 85.0%"
572,AMMA,Baasil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50.0,4.0,3.75,"Monte Alegre, 3 diff. plantations - 50.0%"
572,AMMA,Baasil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75.0,4.0,3.75,"Monte Alegre, 3 diff. plantations - 75.0%"
572,AMMA,Baasil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60.0,4.0,4.0,"Monte Alegre, 3 diff. plantations - 60.0%"
1065,AMMA,Baasil,2013,Brazil,Catongo,75.0,4.0,3.25,Catongo - 75.0%
1259,Anahata,Estados Unidos,2014,Dominican Republic,Elvesia,75.0,2.0,3.0,Elvesia - 75.0%
1852,Animas,Estados Unidos,2016,Bolivia,Alto Beni,75.0,2.0,3.5,Alto Beni - 75.0%
2586,Animas,Estados Unidos,2021,Belize,"Maya Mountain, batch 39",75.0,2.0,3.0,"Maya Mountain, batch 39 - 75.0%"
2586,Animas,Estados Unidos,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75.0,2.0,3.25,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243 - 75.0%"
1379,Ara,Francia,2014,Mexico,Chiapas,72.0,3.0,2.5,Chiapas - 72.0%
1379,Ara,Francia,2014,Ecuador,Equateur,75.0,3.0,2.75,Equateur - 75.0%
1375,Ara,Francia,2014,Madagascar,Madagascar,75.0,3.0,3.0,Madagascar - 75.0%
1379,Ara,Francia,2014,Venezuela,Trincheras,75.0,3.0,3.0,Trincheras - 75.0%
1602,Arete,Estados Unidos,2015,Brazil,Fazenda Camboa,75.0,2.0,2.75,Fazenda Camboa - 75.0%
1602,Arete,Estados Unidos,2015,Guatemala,Guatemala,70.0,2.0,3.25,Guatemala - 70.0%
1534,Arete,Estados Unidos,2015,Brazil,Fazenda Camboa,70.0,2.0,3.5,Fazenda Camboa - 70.0%
1534,Arete,Estados Unidos,2015,Peru,Nacional,68.0,2.0,3.5,Nacional - 68.0%
1598,Arete,Estados Unidos,2015,Dominican Republic,Oko Caribe,70.0,2.0,3.5,Oko Caribe - 70.0%
1602,Arete,Estados Unidos,2015,Ecuador,Camino Verde,75.0,3.0,3.5,Camino Verde - 75.0%
1534,Arete,Estados Unidos,2015,Ecuador,"Puerto Quito, heirloom",70.0,2.0,3.75,"Puerto Quito, heirloom - 70.0%"
1598,Arete,Estados Unidos,2015,Belize,Maya Mountain,70.0,2.0,3.75,Maya Mountain - 70.0%
1598,Arete,Estados Unidos,2015,Nicaragua,Chuno,70.0,2.0,4.0,Chuno - 70.0%
1904,Arete,Estados Unidos,2016,Ecuador,Hacienda Victoria,70.0,3.0,3.25,Hacienda Victoria - 70.0%
1904,Arete,Estados Unidos,2016,Ecuador,Costa Esmeraldas,70.0,3.0,3.25,Costa Esmeraldas - 70.0%
1928,Arete,Estados Unidos,2016,Fiji,Matasawalevu,70.0,2.0,3.25,Matasawalevu - 70.0%
1928,Arete,Estados Unidos,2016,Vietnam,Lam Dong,73.0,2.0,3.25,Lam Dong - 73.0%
1724,Arete,Estados Unidos,2016,Trinidad,San Juan,70.0,2.0,3.5,San Juan - 70.0%
1900,Arete,Estados Unidos,2016,Vietnam,Tien Giang,73.0,3.0,3.5,Tien Giang - 73.0%
1904,Arete,Estados Unidos,2016,Guatemala,Lachua,70.0,2.0,3.5,Lachua - 70.0%
1908,Arete,Estados Unidos,2016,Honduras,"La Masica, FHIA",70.0,2.0,3.5,"La Masica, FHIA - 70.0%"
1724,Arete,Estados Unidos,2016,Tanzania,Kokoa Kamili,70.0,2.0,3.75,Kokoa Kamili - 70.0%
1904,Arete,Estados Unidos,2016,Nicaragua,Rugoso,70.0,3.0,3.75,Rugoso - 70.0%
1928,Arete,Estados Unidos,2016,Dominican Republic,Elvesia,70.0,2.0,3.75,Elvesia - 70.0%
1908,Arete,Estados Unidos,2016,Costa Rica,"Coto Brus, Terciopelo",70.0,2.0,4.0,"Coto Brus, Terciopelo - 70.0%"
1924,Arete,Estados Unidos,2016,Peru,Phantom,70.0,2.0,4.0,Phantom - 70.0%
2020,Arete,Estados Unidos,2017,India,Anamalai,70.0,2.0,3.5,Anamalai - 70.0%
2020,Arete,Estados Unidos,2017,Madagascar,Sambirano Valley,70.0,3.0,3.5,Sambirano Valley - 70.0%
2020,Arete,Estados Unidos,2017,Vietnam,Ben Tre,73.0,3.0,3.5,Ben Tre - 73.0%
2028,Arete,Estados Unidos,2017,Peru,Ucayali,70.0,3.0,3.5,Ucayali - 70.0%
2024,Arete,Estados Unidos,2017,Bolivia,Beniano,70.0,2.0,4.0,Beniano - 70.0%
2028,Arete,Estados Unidos,2017,Haiti,Pisa,70.0,2.0,4.0,Pisa - 70.0%
2068,Arete,Estados Unidos,2018,Trinidad,Ramnath E.,70.0,2.0,3.0,Ramnath E. - 70.0%
2254,Arete,Estados Unidos,2018,Colombia,Tumaco,70.0,2.0,4.0,Tumaco - 70.0%
2450,Arete,Estados Unidos,2019,India,Idukki,70.0,3.0,3.0,Idukki - 70.0%
2330,Arete,Estados Unidos,2019,India,Jangareddygudem,70.0,3.0,3.25,Jangareddygudem - 70.0%
2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70.0,2.0,3.0,Apoyo - 70.0%
2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70.0,2.0,3.25,Masaya - 70.0%
2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70.0,2.0,3.5,Mombacho - 70.0%
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70.0,2.0,3.5,Cocibolca - 70.0%
300,Artisan du Chocolat,Reiuno Unido,2008,Congo,Congo,72.0,3.0,3.75,Congo - 72.0%
363,Artisan du Chocolat,Reiuno Unido,2009,Brazil,Brazil Rio Doce,72.0,3.0,1.75,Brazil Rio Doce - 72.0%
355,Artisan du Chocolat,Reiuno Unido,2009,Venezuela,"Ocumare, Venezuela",75.0,3.0,2.5,"Ocumare, Venezuela - 75.0%"
355,Artisan du Chocolat,Reiuno Unido,2009,Indonesia,Java,72.0,3.0,2.75,Java - 72.0%
363,Artisan du Chocolat,Reiuno Unido,2009,Madagascar,Madagascar,80.0,3.0,3.0,Madagascar - 80.0%
363,Artisan du Chocolat,Reiuno Unido,2009,Peru,Peru,75.0,3.0,3.0,Peru - 75.0%
363,Artisan du Chocolat,Reiuno Unido,2009,Dominican Republic,Dominican Republic,72.0,3.0,3.25,Dominican Republic - 72.0%
486,Artisan du Chocolat,Reiuno Unido,2010,Venezuela,Venezuela,100.0,,1.75,Venezuela - 100.0%
600,Artisan du Chocolat,Reiuno Unido,2010,Costa Rica,Costa Rica,72.0,3.0,3.25,Costa Rica - 72.0%
600,Artisan du Chocolat,Reiuno Unido,2010,Vietnam,Ba Ria Vung Tau Province,72.0,3.0,3.25,Ba Ria Vung Tau Province - 72.0%
600,Artisan du Chocolat,Reiuno Unido,2010,Indonesia,Bali,72.0,3.0,3.5,Bali - 72.0%
531,Artisan du Chocolat,Reiuno Unido,2010,Jamaica,Jamaica,72.0,3.0,3.75,Jamaica - 72.0%
745,Artisan du Chocolat,Reiuno Unido,2011,Panama,Panama,72.0,3.0,2.75,Panama - 72.0%
729,Artisan du Chocolat,Reiuno Unido,2011,Haiti,Haiti,72.0,3.0,4.0,Haiti - 72.0%
947,Artisan du Chocolat,Reiuno Unido,2012,Colombia,"Colombia, Casa Luker",72.0,3.0,3.75,"Colombia, Casa Luker - 72.0%"
1193,Artisan du Chocolat,Reiuno Unido,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72.0,3.0,3.25,"Trinidad, Heritage, Limited ed. - 72.0%"
1181,Artisan du Chocolat (Casa Luker),Reiuno Unido,2013,Colombia,"Orinoqua Region, Arauca",72.0,4.0,2.75,"Orinoqua Region, Arauca - 72.0%"
2562,Aruntam,Italia,2021,India,"Idukki Kerala, lot IN728221",72.0,4.0,3.25,"Idukki Kerala, lot IN728221 - 72.0%"
2562,Aruntam,Italia,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72.0,4.0,3.25,"Bejofo E., Akesson, lot MA72820 - 72.0%"
2566,Aruntam,Italia,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72.0,4.0,3.5,"Kokoa Kamili, lot TZ72199 - 72.0%"
141,Askinosie,Estados Unidos,2007,Mexico,Xoconusco,75.0,2.0,2.5,Xoconusco - 75.0%
175,Askinosie,Estados Unidos,2007,Ecuador,San Jose del Tambo,70.0,2.0,3.0,San Jose del Tambo - 70.0%
331,Askinosie,Estados Unidos,2009,Philippines,Davao,77.0,2.0,3.75,Davao - 77.0%
647,Askinosie,Estados Unidos,2011,Tanzania,"Tenende, Uwate",72.0,2.0,3.75,"Tenende, Uwate - 72.0%"
661,Askinosie,Estados Unidos,2011,Honduras,Cortes,70.0,2.0,3.75,Cortes - 70.0%
1780,Askinosie,Estados Unidos,2016,Tanzania,Mababa,68.0,3.0,3.75,Mababa - 68.0%
2434,Atypic,Australia,2019,Solomon Islands,Solomon Islands,70.0,4.0,3.0,Solomon Islands - 70.0%
2056,Auro,Filipinas,2018,Philippines,Davao,77.0,4.0,2.75,Davao - 77.0%
2056,Auro,Filipinas,2018,Philippines,"Paquibao E., 2016",70.0,3.0,3.0,"Paquibao E., 2016 - 70.0%"
2056,Auro,Filipinas,2018,Philippines,South Cotabato,70.0,3.0,3.0,South Cotabato - 70.0%
2056,Auro,Filipinas,2018,Philippines,"Saloy E., 2016",70.0,3.0,3.5,"Saloy E., 2016 - 70.0%"
2672,Avanaa,Canadá,2021,Colombia,Tumaco,70.0,2.0,2.5,Tumaco - 70.0%
2672,Avanaa,Canadá,2021,Dominican Republic,Zorzal,70.0,2.0,3.0,Zorzal - 70.0%
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70.0,2.0,2.5,Bahia - 70.0%
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70.0,2.0,2.5,Houseblend - 70.0%
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70.0,2.0,3.0,Sambirano - 70.0%
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80.0,2.0,3.25,Houseblend - 80.0%
1474,Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70.0,2.0,3.5,Papua New Guinea - 70.0%
2146,Baiani,Baasil,2018,Brazil,"Bahia, Vale Potumujo",70.0,2.0,3.0,"Bahia, Vale Potumujo - 70.0%"
1454,Bakau,Perú,2015,Peru,"Bambamarca, 2015",70.0,3.0,2.75,"Bambamarca, 2015 - 70.0%"
1454,Bakau,Perú,2015,Peru,"Huallabamba, 2015",70.0,3.0,3.5,"Huallabamba, 2015 - 70.0%"
2290,Bankston,Estados Unidos,2019,Belize,Belize,72.0,3.0,2.5,Belize - 72.0%
2294,Bankston,Estados Unidos,2019,Uganda,Uganda,82.0,3.0,2.75,Uganda - 82.0%
2294,Bankston,Estados Unidos,2019,Tanzania,Kokoa Kamili,72.0,3.0,3.25,Kokoa Kamili - 72.0%
983,Bar Au Chocolat,Estados Unidos,2012,Dominican Republic,Duarte Province,70.0,2.0,3.25,Duarte Province - 70.0%
983,Bar Au Chocolat,Estados Unidos,2012,Mexico,Chiapas,70.0,2.0,3.5,Chiapas - 70.0%
983,Bar Au Chocolat,Estados Unidos,2012,Madagascar,Sambirano,70.0,2.0,3.75,Sambirano - 70.0%
1295,Bar Au Chocolat,Estados Unidos,2014,Peru,Maranon Canyon,70.0,2.0,4.0,Maranon Canyon - 70.0%
1554,Bar Au Chocolat,Estados Unidos,2015,Brazil,Bahia,70.0,2.0,3.5,Bahia - 70.0%
1980,Bar Au Chocolat,Estados Unidos,2017,Costa Rica,"Turrialba, Cartago P.",72.0,2.0,3.5,"Turrialba, Cartago P. - 72.0%"
1980,Bar Au Chocolat,Estados Unidos,2017,Trinidad,Montserrat Hills,80.0,2.0,3.5,Montserrat Hills - 80.0%
955,Baravelli's,Gales,2012,Costa Rica,single estate,80.0,4.0,2.75,single estate - 80.0%
1880,Batch,Estados Unidos,2016,Ecuador,Ecuador,65.0,3.0,3.25,Ecuador - 65.0%
1840,Batch,Estados Unidos,2016,Dominican Republic,"Dominican Republic, Batch 3",65.0,3.0,3.5,"Dominican Republic, Batch 3 - 65.0%"
1868,Batch,Estados Unidos,2016,Brazil,Brazil,70.0,3.0,3.75,Brazil - 70.0%
2374,Bean,Reiuno Unido,2019,Peru,Peru,70.0,4.0,2.25,Peru - 70.0%
1948,Beau Cacao,Reiuno Unido,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73.0,3.0,3.0,"Asajaya E, NW Borneo, b. #132/4500 - 73.0%"
1948,Beau Cacao,Reiuno Unido,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72.0,3.0,3.25,"Serian E., NW Borneo, b. #134/3800 - 72.0%"
1784,Beehive,Estados Unidos,2016,Brazil,"Brazil, Batch 20316",80.0,3.0,2.75,"Brazil, Batch 20316 - 80.0%"
1784,Beehive,Estados Unidos,2016,Dominican Republic,"Dominican Republic, Batch 31616",70.0,3.0,2.75,"Dominican Republic, Batch 31616 - 70.0%"
1784,Beehive,Estados Unidos,2016,Ecuador,"Ecuador, Batch 31516",70.0,3.0,2.75,"Ecuador, Batch 31516 - 70.0%"
1788,Beehive,Estados Unidos,2016,Ecuador,Ecuador,90.0,3.0,2.75,Ecuador - 90.0%
586,Belcolade,Bélgica,2010,Costa Rica,Costa Rica,64.0,4.0,2.75,Costa Rica - 64.0%
586,Belcolade,Bélgica,2010,Papua New Guinea,Papua New Guinea,64.0,4.0,2.75,Papua New Guinea - 64.0%
586,Belcolade,Bélgica,2010,Peru,Peru,64.0,4.0,2.75,Peru - 64.0%
586,Belcolade,Bélgica,2010,Ecuador,Ecuador,71.0,4.0,3.5,Ecuador - 71.0%
1804,Bellflower,Estados Unidos,2016,Bolivia,"Alto Beni, Palos Blanco",70.0,3.0,3.25,"Alto Beni, Palos Blanco - 70.0%"
1800,Bellflower,Estados Unidos,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70.0,3.0,3.5,"Kokao Kamili, Kilombero Valley - 70.0%"
1864,Bellflower,Estados Unidos,2016,Dominican Republic,"Oko Caribe, Duarte P.",70.0,2.0,3.5,"Oko Caribe, Duarte P. - 70.0%"
